시도,시군구,성별,연령별,노인인구수,치매환자수,치매환자유병률,최경도.환자,경도.환자,중등도.환자,중증.환자,경도인지장애.환자수,경도인지장애.환자유병률
강원특별자치도,강릉시,남,60~64세,"[6375,7062,7635,8123,8656,9135,9489,9625.5,9552.5]","[72,80,86,92,98,103.23,107.23,108.77,107.94]","[1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13]","[13,14,15,16,17,17.96,18.66,18.93,18.78]","[30,33,36,38,41,42.74,44.39,45.03,44.69]","[19,21,22,24,25,26.53,27.56,27.95,27.74]","[11,12,13,14,15,16,16.62,16.86,16.73]","[1644,1821,1969,2094,2232,2355.43,2446.71,2481.91,2463.08]","[25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78,25.78]"
강원특별자치도,강릉시,남,60세이상,"[NA,NA,NA,NA,NA,27738,29151.5,30362,31332]","[NA,NA,NA,NA,NA,1876.58,2011.4,2139.2,2256]","[NA,NA,NA,NA,NA,6.77,6.9,7.05,7.2]","[NA,NA,NA,NA,NA,326.52,349.98,372.22,392.54]","[NA,NA,NA,NA,NA,776.9,832.72,885.63,933.98]","[NA,NA,NA,NA,NA,482.28,516.93,549.77,579.79]","[NA,NA,NA,NA,NA,290.87,311.77,331.58,349.68]","[NA,NA,NA,NA,NA,5899.04,6161.69,6394.65,6572.61]","[NA,NA,NA,NA,NA,21.27,21.14,21.06,20.98]"
강원특별자치도,강릉시,남,65~69세,"[5084,5034,5182,5443,5733,6296,6994.5,7547.5,8013]","[94,93,96,101,106,116.48,129.4,139.63,148.24]","[1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85]","[16,16,17,18,18,20.27,22.52,24.3,25.79]","[39,39,40,42,44,48.22,53.57,57.81,61.37]","[24,24,25,26,27,29.94,33.26,35.88,38.1]","[15,14,15,16,16,18.05,20.06,21.64,22.98]","[481,476,490,515,542,595.56,661.64,713.95,757.98]","[9.45,9.45,9.45,9.45,9.46,9.46,9.46,9.46,9.46]"
강원특별자치도,강릉시,남,65세이상,"[NA,NA,NA,NA,NA,18603,19662.5,20736.5,21779.5]","[NA,NA,NA,NA,NA,1773.35,1904.18,2030.43,2148.06]","[NA,NA,NA,NA,NA,9.53,9.68,9.79,9.86]","[NA,NA,NA,NA,NA,308.56,331.33,353.29,373.76]","[NA,NA,NA,NA,NA,734.17,788.33,840.6,889.3]","[NA,NA,NA,NA,NA,455.75,489.37,521.82,552.05]","[NA,NA,NA,NA,NA,274.87,295.15,314.72,332.95]","[NA,NA,NA,NA,NA,3543.61,3714.98,3912.74,4109.52]","[NA,NA,NA,NA,NA,19.05,18.89,18.87,18.87]"
강원특별자치도,강릉시,남,70~74세,"[4455,4486,4557,4658,4753,4779,4753,4881.5,5106]","[208,209,212,217,221,222.7,221.49,227.48,237.94]","[4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66]","[36,36,37,38,39,38.75,38.54,39.58,41.4]","[86,87,88,90,92,92.2,91.7,94.18,98.51]","[53,54,55,56,57,57.23,56.92,58.46,61.15]","[32,32,33,34,34,34.52,34.33,35.26,36.88]","[1120,1127,1145,1171,1194,1200.98,1194.45,1226.74,1283.16]","[25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13,25.13]"
강원특별자치도,강릉시,남,75~79세,"[3223,3371,3579,3729,3795,3858.5,3938,4037,4137.5]","[298,311,330,344,350,356.14,363.48,372.62,381.89]","[9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23,9.23]","[52,54,58,60,61,61.97,63.25,64.84,66.45]","[123,129,137,143,145,147.44,150.48,154.26,158.1]","[76,80,85,89,90,91.53,93.41,95.76,98.15]","[46,48,51,53,54,55.2,56.34,57.76,59.19]","[221,231,245,255,260,264.02,269.46,276.24,283.11]","[6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84]"
강원특별자치도,강릉시,남,80~84세,"[1473,1669,1865,2079,2269,2447.5,2594.5,2750.5,2878]","[252,285,319,355,388,418.28,443.4,470.06,491.85]","[17.09,17.09,17.09,17.09,17.09,17.09,17.09,17.09,17.09]","[44,50,55,62,67,72.78,77.15,81.79,85.58]","[104,118,132,147,161,173.17,183.57,194.61,203.63]","[65,73,82,91,100,107.5,113.95,120.81,126.41]","[39,44,49,55,60,64.83,68.73,72.86,76.24]","[746,845,945,1053,1150,1240.06,1314.53,1393.57,1458.17]","[50.66,50.66,50.66,50.66,50.67,50.67,50.67,50.67,50.67]"
강원특별자치도,강릉시,남,85세이상,"[783,836,904,990,1089,1222,1382.5,1520,1645]","[422,451,488,534,588,659.76,746.41,820.65,888.14]","[53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99,53.99]","[74,78,85,93,102,114.8,129.88,142.79,154.54]","[175,187,202,221,243,273.14,309.01,339.75,367.69]","[109,116,125,137,151,169.56,191.83,210.91,228.25]","[65,70,76,83,91,102.26,115.69,127.2,137.66]","[156,166,180,197,216,242.99,274.9,302.24,327.1]","[19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88,19.88]"
강원특별자치도,강릉시,남,남계,"[21392,22457,23720,25020,NA,NA,NA,NA,NA]","[1346,1430,1532,1644,NA,NA,NA,NA,NA]","[6.29,6.37,6.46,6.57,NA,NA,NA,NA,NA]","[0,0,0,286,NA,NA,NA,NA,NA]","[0,0,0,680,NA,NA,NA,NA,NA]","[0,0,0,422,NA,NA,NA,NA,NA]","[0,0,0,255,NA,NA,NA,NA,NA]","[4366,4666,4973,5285,NA,NA,NA,NA,NA]","[20.41,20.78,20.96,21.12,NA,NA,NA,NA,NA]"
강원특별자치도,강릉시,여,60~64세,"[7040,7708,8240,8661,9186,9696,10169.5,10404,10323]","[8,8,9,10,10,10.67,11.19,11.44,11.36]","[0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11]","[1,1,2,2,2,1.86,1.95,1.99,1.98]","[3,4,4,4,4,4.42,4.63,4.74,4.7]","[2,2,2,2,3,2.74,2.87,2.94,2.92]","[1,1,1,1,2,1.65,1.73,1.77,1.76]","[309,338,362,380,403,425.44,446.22,456.51,452.95]","[4.38,4.38,4.38,4.38,4.39,4.39,4.39,4.39,4.39]"
